Title,Author,ISBN,Genre,False
The Great Gatsby,F. Scott Fitzgerald,9780743273565,Classic,True
To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,True
1984,George Orwell,9780451524935,Dystopian,True
Pride and Prejudice,Jane Austen,9780141439518,Classic,True
The Catcher in the Rye,J.D. Salinger,9780316769488,Coming-of-age,True
Brave New World,Aldous Huxley,9780060850524,Dystopian,True
The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,True
Animal Farm,George Orwell,9780451526342,Dystopian,True
Lord of the Flies,William Golding,9780399501487,Adventure,False
The Alchemist,Paulo Coelho,9780061120084,Philosophy,True
1984,George Orwell,9780451524935,Dystopian,True
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,True
One Hundred Years of Solitude,Gabriel Garcia Marquez,9780061120084,Magic realism,True
Moby-Dick,Herman Melville,9781853260087,Adventure,True
Crime and Punishment,Fyodor Dostoevsky,9780679734505,Psychological,True
Frankenstein,Mary Shelley,9780486282114,Science Fiction,True
The Adventures of Sherlock Holmes,Arthur Conan Doyle,9781435158117,Mystery,True
The Picture of Dorian Gray,Oscar Wilde,9780486278070,Philosophical,True
The Road,Cormac McCarthy,9780307387899,Post-apocalyptic,True
The Sun Also Rises,Ernest Hemingway,9780743297332,Fiction,True
The Grapes of Wrath,John Steinbeck,9780143039433,Realistic fiction,True
Heart of Darkness,Joseph Conrad,9781847493857,Adventure,True
The Great Gatsby,F. Scott Fitzgerald,9780743273565,Classic,True
To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,True
1984,George Orwell,9780451524935,Dystopian,True
Pride and Prejudice,Jane Austen,9780141439518,Classic,True
The Catcher in the Rye,J.D. Salinger,9780316769488,Coming-of-age,True
Brave New World,Aldous Huxley,9780060850524,Dystopian,True
The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,True
Animal Farm,George Orwell,9780451526342,Dystopian,True
Lord of the Flies,William Golding,9780399501487,Adventure,False
The Alchemist,Paulo Coelho,9780061120084,Philosophy,True
